incidente_id,cliente_id,email_cliente,telefono_cliente,categoria,estado,prioridad,fecha_creacion,tiempo_resolucion_horas
INC-0039,CLI-0009,cliente39@example.com,+57 300 100 0039,solicitud,en_proceso,alta,2026-07-12,
INC-0040,CLI-0010,cliente40@example.com,+57 300 100 0040,solicitud,en_proceso,baja,2026-07-13,
INC-0041,CLI-0011,cliente41@example.com,+57 300 100 0041,solicitud,en_proceso,media,2026-07-14,
INC-0042,CLI-0012,cliente42@example.com,+57 300 100 0042,solicitud,en_proceso,alta,2026-07-15,
INC-0043,CLI-0013,cliente43@example.com,+57 300 100 0043,solicitud,resuelto,baja,2026-07-16,23.0
INC-0044,CLI-0014,cliente44@example.com,+57 300 100 0044,solicitud,resuelto,media,2026-07-17,24.5
INC-0045,CLI-0015,cliente45@example.com,+57 300 100 0045,solicitud,resuelto,alta,2026-07-18,26.0
INC-0046,CLI-0016,cliente46@example.com,+57 300 100 0046,solicitud,resuelto,baja,2026-07-19,27.5
INC-0047,CLI-0017,cliente47@example.com,+57 300 100 0047,solicitud,resuelto,media,2026-07-20,29.0
INC-0048,CLI-0018,cliente48@example.com,+57 300 100 0048,solicitud,resuelto,alta,2026-07-21,30.5
INC-0049,CLI-0019,cliente49@example.com,+57 300 100 0049,solicitud,resuelto,baja,2026-07-22,8.0
INC-0050,CLI-0020,cliente50@example.com,+57 300 100 0050,solicitud,resuelto,media,2026-07-23,9.5
INC-0051,CLI-0021,cliente51@example.com,+57 300 100 0051,solicitud,resuelto,alta,2026-07-24,11.0
INC-0052,CLI-0022,cliente52@example.com,+57 300 100 0052,solicitud,resuelto,baja,2026-07-25,12.5
INC-0053,CLI-0023,cliente53@example.com,+57 300 100 0053,solicitud,resuelto,media,2026-07-26,14.0
INC-0054,CLI-0024,cliente54@example.com,+57 300 100 0054,solicitud,resuelto,alta,2026-07-27,15.5
INC-0055,CLI-0025,cliente55@example.com,+57 300 100 0055,solicitud,resuelto,baja,2026-07-28,17.0
INC-0056,CLI-0026,cliente56@example.com,+57 300 100 0056,solicitud,resuelto,media,2026-07-01,18.5
INC-0057,CLI-0027,cliente57@example.com,+57 300 100 0057,solicitud,resuelto,alta,2026-07-02,20.0
INC-0058,CLI-0028,cliente58@example.com,+57 300 100 0058,solicitud,resuelto,baja,2026-07-03,21.5
INC-0059,CLI-0029,cliente59@example.com,+57 300 100 0059,fallo_operativo,resuelto,media,2026-07-04,23.0
INC-0060,CLI-0030,cliente60@example.com,+57 300 100 0060,fallo_operativo,resuelto,alta,2026-07-05,24.5
INC-0061,CLI-0031,cliente61@example.com,+57 300 100 0061,fallo_operativo,resuelto,baja,2026-07-06,26.0
INC-0062,CLI-0001,cliente62@example.com,+57 300 100 0062,fallo_operativo,resuelto,media,2026-07-07,27.5
INC-0063,CLI-0002,cliente63@example.com,+57 300 100 0063,fallo_operativo,resuelto,alta,2026-07-08,29.0
INC-0064,CLI-0003,cliente64@example.com,+57 300 100 0064,fallo_operativo,resuelto,baja,2026-07-09,30.5
INC-0065,CLI-0004,cliente65@example.com,+57 300 100 0065,fallo_operativo,resuelto,media,2026-07-10,8.0
INC-0066,CLI-0005,cliente66@example.com,+57 300 100 0066,fallo_operativo,resuelto,alta,2026-07-11,9.5
INC-0067,CLI-0006,cliente67@example.com,+57 300 100 0067,fallo_operativo,cerrado,baja,2026-07-12,11.0
INC-0068,CLI-0007,cliente68@example.com,+57 300 100 0068,fallo_operativo,cerrado,media,2026-07-13,12.5
INC-0069,CLI-0008,cliente69@example.com,+57 300 100 0069,fallo_operativo,cerrado,alta,2026-07-14,14.0
INC-0070,CLI-0009,cliente70@example.com,+57 300 100 0070,fallo_operativo,cerrado,baja,2026-07-15,15.5
INC-0071,CLI-0010,cliente71@example.com,+57 300 100 0071,fallo_operativo,cerrado,media,2026-07-16,17.0
INC-0072,CLI-0011,cliente72@example.com,+57 300 100 0072,fallo_operativo,cerrado,alta,2026-07-17,18.5
INC-0073,CLI-0012,cliente73@example.com,+57 300 100 0073,fallo_operativo,cerrado,baja,2026-07-18,20.0
INC-0074,CLI-0013,cliente74@example.com,+57 300 100 0074,fallo_operativo,cerrado,media,2026-07-19,21.5
INC-0075,CLI-0014,cliente75@example.com,+57 300 100 0075,fallo_operativo,cerrado,alta,2026-07-20,23.0
INC-0076,CLI-0015,cliente76@example.com,+57 300 100 0076,fallo_operativo,cerrado,baja,2026-07-21,24.5
INC-0077,CLI-0016,cliente77@example.com,+57 300 100 0077,fallo_operativo,cerrado,media,2026-07-22,26.0
INC-0078,CLI-0017,cliente78@example.com,+57 300 100 0078,fallo_operativo,cerrado,alta,2026-07-23,27.5
INC-0079,CLI-0018,cliente79@example.com,+57 300 100 0079,fallo_operativo,cerrado,baja,2026-07-24,29.0
INC-0080,CLI-0019,cliente80@example.com,+57 300 100 0080,fallo_operativo,cerrado,media,2026-07-25,30.5
INC-0081,CLI-0020,cliente81@example.com,+57 300 100 0081,fallo_operativo,cerrado,alta,2026-07-26,8.0
INC-0082,CLI-0021,cliente82@example.com,+57 300 100 0082,fallo_operativo,cerrado,baja,2026-07-27,9.5
INC-0083,CLI-0022,cliente83@example.com,+57 300 100 0083,fallo_operativo,cerrado,media,2026-07-28,11.0
INC-0084,CLI-0023,cliente84@example.com,+57 300 100 0084,fallo_operativo,cerrado,alta,2026-07-01,12.5
INC-0085,CLI-0024,cliente85@example.com,+57 300 100 0085,fallo_operativo,cerrado,baja,2026-07-02,14.0
INC-0086,CLI-0025,cliente86@example.com,+57 300 100 0086,fallo_operativo,cerrado,media,2026-07-03,15.5
INC-0087,CLI-0026,cliente87@example.com,+57 300 100 0087,fallo_operativo,cerrado,alta,2026-07-04,17.0
INC-0088,CLI-0027,cliente88@example.com,+57 300 100 0088,fallo_operativo,cerrado,baja,2026-07-05,18.5
INC-0089,CLI-0099,x@example.com,+57 300 000 0089,reclamacion,abierto,alta,2026-07-09,
INC-0090,CLI-0100,x@example.com,+57 300 000 0090,queja,finalizado,media,2026-07-10,12
,CLI-0101,x@example.com,+57 300 000 0091,solicitud,resuelto,baja,2026-07-11,14
INC-0092,,x@example.com,+57 300 000 0092,queja,cerrado,alta,2026-07-12,9
INC-0093,CLI-0103,x@example.com,+57 300 000 0093,fallo_operativo,,media,2026-07-13,
INC-0094,CLI-0104,x@example.com,+57 300 000 0094,,abierto,media,2026-07-14,
INC-0095,CLI-0105,x@example.com,+57 300 000 0095,logistica,en_proceso,alta,2026-07-15,
INC-0096,CLI-0106,x@example.com,+57 300 000 0096,queja,pausado,baja,2026-07-16,
INC-0097,CLI-0107,x@example.com,+57 300 000 0097,fallo_operativo,abierto,media,,
INC-0098,CLI-0108,x@example.com,+57 300 000 0098,solicitud,en_proceso,alta,2026-07-18,abc
INC-0099,CLI-0109,x@example.com,+57 300 000 0099,queja,resuelto,media,2026-07-19,-2
INC-0100,CLI-0110,x@example.com,+57 300 000 0100,fallo_operativo,cerrado,baja,not-a-date,10
